gbm	categ
TLR7	1
OR5D13	1
TLR1	1
FLT1	1
RIN1	1
KIAA1210	1
PTPRK	1
COL29A1	1
THADA	1
CD163	1
ACVR2A	1
ANKRD13B	1
MYO18B	1
CELF2	1
SLC35G3	1
PNPLA6	1
ENPP7	1
OTOF	1
FTMT	1
PRG4	1
PPP2R1B	1
CPEB3	1
SLC6A14	1
ADCY1	1
CLOCK	1
GLI1	1
SIGLEC5	1
PLEKHG4	1
SRSF5	1
ZNF423	1
FGA	1
LTF	1
SLC12A5	1
CDK13	1
ATP11A	1
ZMYM3	1
NPBWR1	1
RRP1B	1
LRRK1	1
POLQ	1
SH3TC2	1
TLN2	1
IGHV4-4	1
KIAA0430	1
BMF	1
PCDHA4	1
IGDCC4	1
OR51G1	1
ERN2	1
IGSF10	1
SLC12A9	1
KIF7	1
MAP3K6	1
SRCRB4D	1
CFHR4	1
NPY2R	1
SLC5A4	1
EBF2	1
NSD1	1
AGAP6	1
SF3B1	1
LUM	1
ITGAD	1
KRT34	1
KDM4D	1
PRIC285	1
SYNJ2	1
MARC1	1
OR2T3	1
PRPF40B	1
TMPRSS11B	1
LGI2	1
TSHR	1
PXDNL	1
HERC1	1
KRTAP10-11	1
PDZD2	1
CUX2	1
RAG1	1
RANGAP1	1
COL3A1	1
CCDC18	1
KIAA1324L	1
ATP6V0A4	1
TRPC6	1
KIAA1109	1
FRMPD3	1
KIAA1045	1
AIM1	1
LILRB1	1
DEPDC5	1
LOXL1	1
GTF3C1	1
MTUS2	1
MFSD6	1
GABRG2	1
MKL1	1
CLCN3	1
PIGR	1
PAPPA2	1
USH1C	1
ST18	1
FAM214B	1
DOCK4	1
TBC1D10B	1
SPATA31A6	1
SLCO1B3	1
ZBTB39	1
COL21A1	1
PCNT	1
PANX3	1
TENM3	1
HECW1	1
XIRP1	1
LRBA	1
REXO1	1
CPNE8	1
USP51	1
GIGYF2	1
MC3R	1
C15orf2	1
MYOM2	1
CRB2	1
ANO5	1
RASGRF1	1
ATG2A	1
KCNG1	1
FRMPD4	1
RGS12	1
TRPM1	1
ACRC	1
GABBR2	1
ARHGAP39	1
HIPK1	1
AHRR	1
MXD4	1
CAMK2A	1
NTRK1	1
DIDO1	1
FGFR3	1
ADAMTS19	1
SELO	1
TGM1	1
TPR	1
MMP13	1
MATK	1
NEFM	1
NTSR1	1
DCHS1	1
SLITRK2	1
MED15	1
MAP3K7	1
KAT6B	1
VANGL2	1
STK31	1
NUMA1	1
CLCN1	1
NBPF16	1
CPD	1
SPEF2	1
PCDH15	1
TPTE	1
TLR2	1
NYAP2	1
MYH3	1
NCAN	1
KIAA1217	1
BRPF1	1
INPP5D	1
NPR2	1
IQGAP2	1
OR2L13	1
LAMA3	1
RGNEF	1
NVL	1
UGT2A1	1
MYH11	1
TLR6	1
DCAF5	1
ATR	1
FNBP4	1
ZNF329	1
UBR1	1
SNAP91	1
SLC6A17	1
BCR	1
PRSS36	1
UNC13A	1
COL17A1	1
TRY6	1
CFTR	1
DDX3X	1
CDHR3	1
HTR1A	1
DLAT	1
VSIG10	1
RERGL	1
UNC13D	1
RRBP1	1
MEGF11	1
ADAMDEC1	1
SH3PXD2B	1
HGS	1
ESPL1	1
OR52B2	1
TRPV4	1
IRF6	1
TBC1D8	1
DIAPH2	1
NLRP2	1
PTPRH	1
EPHA8	1
ZSCAN22	1
AXL	1
FAM46C	1
UGT2B4	1
CTNNA2	1
GFRAL	1
EZH2	1
OR5W2	1
ABCA1	1
IL1R1	1
